id	idU	title	desc	pubdate	numlikes
32	610	#CHAMPIONSXFOX Hala Madrid!! A dejarlo todo!!! Por favor quiero la piel del Real Madrid! Saludos desde Lima  Perú. https://t.co/GDhMJ8nSHi	Francisco Serrano	2014-07-10	15
33	720	#Mar 😍 (@ Larcomar in Miraflores  Lima w/ @mario_chc) https://t.co/oVIJUzD8uj	Cristy García	2014-01-15	8
34	403	Loki me sale caro 💸💸💸 (@ Clínica Veterinaria Pet Center in Chorrillos  Lima) https://t.co/da2MKlcjSa	Victor	2014-02-03	20
35	382	La chaampioooonnnnn...... @ Vista Alegre  Lima  Peru https://t.co/bFdjHVo8eZ	Javier Morales A	2014-12-20	12
36	789	¡La Final De La Champions! (@ Shaly house in Barranco  Lima) https://t.co/j6W6iM0Vxw	Gonzalo Barrios	2014-06-17	6
37	423	I'm at La Piccolina in Surco  Lima https://t.co/yvwJLnZAVk	Leo.	2014-08-10	10
38	892	#aporla12 #halamadrid 🏅🏆⚽ @ Punta Hermosa  Lima  Peru https://t.co/4OddOY6rFp	Alberth	2014-11-23	13
39	991	💖 #BOTECITO: ¿Ya conoces a esta puta? 👉 helen  palo seco sin tetas  pero que se… https://t.co/uYL4igWirV 👈 #putas #callao #PUTAS #LIMA	HERMANODELECHE.COM	2014-03-07	17
40	427	lima es un caos	Alejandro Macizo	2014-09-20	16
41	204	I found this beautiful place walking around the streets of Lima. #neverstopexploring… https://t.co/QBStIBfUBM	Marcia Campbell	2014-05-18	8
42	123	#ChampionxFOX #ForzaJuve 😸🍻🏆⚽ (@ Barranco Beer Company - @barrancobeerco in Lima) https://t.co/ifLy42eOah https://t.co/0yTVCYPxL9	Gatonator	2014-01-08	19
43	961	En el fin del mundo (@ El Escondite in Cieneguilla  Lima) https://t.co/PtbWuOErzo	Luis DAL	2014-12-28	1
44	606	I'm at @VeggiePizzaPe in Barranco  Lima https://t.co/orIWXxw6cj	Ikebana	2014-07-06	14
45	927	I'm at Puerto Med in Miraflores  Lima https://t.co/kdt3xP4KRK	B	2014-04-23	15
46	954	#ChampionsxFOX Disfrutando un partido emocionante. Vamos Juvea ganar. Quiero mi camiseta Saludos desde Lima Perú https://t.co/cTeKzUeY2B	Pedro Bustamante	2014-05-31	8
47	1	@FOXDeportes #ChampionsxFOXSPort 2doTime. Slds MClossyDLaTorre desde Lima Perú. Porfa. Mi camiseta. Soy sus hinchas. Obvio. @dflatorre.	SMGALLOMEDI	2014-05-30	5
48	860	I'm at Terminal Terrestre Sur in Surco  Lima https://t.co/dShn6qVMMn	Raúl	2014-05-17	17
49	48	Alianza Lima  la Vecchia Signora. #ChampionsLeague	Raul Cachay A.	2014-07-14	17
50	632	Bronco el #perro más famoso de Antioquía  Huarochiri (Lima-Perú). Su dueño es Alex Narciso  guía… https://t.co/UVLJTz0Dod	Andrea ZZevallos	2014-06-21	6
51	879	Madrid-Lima-Cusco-Moray-Ollantaytambo-Montaña de 7… https://t.co/pE8zUTfO9o	Fran Prieto	2014-06-27	2
52	66	Just posted a photo @ Vista Alegre  Lima  Peru https://t.co/zHNweMfNGZ	Javier Morales A	2014-12-01	3
53	429	I'm at Larcomar in Miraflores  Lima https://t.co/sysGfYOiUk	fiorella	2014-09-02	7
54	110	I'm at Tostaduría Bisetti in Barranco  Lima https://t.co/y3vLeI7zTU	carlosq	2014-01-09	14
55	669	@srinualme @CristinPereyra @SKID1144 @Sonialagitane @Traveling_89 @Check_point__2 @dDwvJOCHzgSWOFb @Alexa17101614… https://t.co/qATsfoqlkn	MARIA CRISTINA	2014-12-30	15
56	612	Las mejores amigas son las que chanchean contigo 😋🍖 #peruvianfood #lima #peru #foodporn #foodie… https://t.co/BLdikOwNKz	Maryorie Huarac	2014-01-06	20
57	487	I'm at Havanna Café in Miraflores  Lima https://t.co/GPqfO4Adte	fiorella	2014-10-20	9
58	176	Le sabade (@ Makro in Santiago de Surco  Lima) https://t.co/q6yxBfPLSs	Aaron  Falcon	2014-01-22	2
59	822	Llegamos! Al #ExpoDrinks (@ Casa Prado in Miraflores  Lima) https://t.co/09bi5Q6yZb	Elizabeth Zamora	2014-02-19	1
60	875	Bautizo Nicole Alexandra 👼🏼#Madrina @ Chorillos  Lima  Peru https://t.co/ABHjLa8F29	Ivi Andrea Vieyra	2014-03-27	18
61	826	Ñam (@ Miss Cupcakes in Lima) https://t.co/7c7audygv4	Michaell Ruiz Huarca	2014-01-13	19
62	682	#DenmeVino #FestivalVinoLicores #Lima #vino #pisco #Peru @ Casa Prado https://t.co/WOOS37FqVT	Farid Kahatt	2014-03-08	17
63	517	Baba 👯😍 #bff #women #girls #walking #street #streetphotography #lima #peru #barranco #instagood… https://t.co/peaDZrOS4C	Maryorie Huarac	2014-02-18	6
64	984	🤗🤗🤗 (@ Centro Apostólico María Guía - @cpmariaguia in Miraflores District  Lima Region) https://t.co/R0qyEO78BK	Naysha Price Ballón	2014-11-05	2
65	635	#ExpoDrinks&DeliFood (@ Casa Prado in Miraflores  Lima) https://t.co/W0OBMQfAiF	Hernán Zevallos	2014-05-14	8
66	870	I'm at El Piombino in Santiago de Surco  Lima https://t.co/FZyRAmJDa3	runner65🏃	2014-07-19	20
67	857	aprovechando el tiempo (@ Universidad Ricardo Palma - @urpalma in Santiago de Surco  Lima) https://t.co/QvoS7x9vN7	Diego Purizaca	2014-10-20	16
68	10	Lima la gris 😣 @ Distrito de Chorrillos https://t.co/3UCvRNyXnP	Bryan Hübner	2014-12-06	12
69	587	I'm at Casa Prado in Miraflores  Lima https://t.co/wFDeyIlkUE https://t.co/p9imcN49qR	Pao	2014-02-08	10
70	227	Parrillada para ver el clásico! (@ Las Brisas de Villa in Chorrillos  Lima) https://t.co/WIlCsCSqbJ	Daniela Crovetto	2014-04-26	11
71	594	Comprando un pastelito de acelga (@ Tottus Express - @tottusperu in Miraflores  Lima) https://t.co/ZKMY9Wit7u	Jimenicosas	2014-04-02	19
72	920	I'm at Larcomar in Miraflores  Lima https://t.co/WgNqiAeEcV	Un Huevo™	2014-07-13	11
73	683	I'm at Larcomar in Miraflores  Lima https://t.co/w8XQiDF8cw	Cata εїз	2014-03-26	5
74	762	I'm at Larcomar in Miraflores  Lima w/ @leswc712 https://t.co/5CXIMdQTVO https://t.co/IqKmkgT6wq	PolyfaceTico❌	2014-01-07	8
75	692	I'm at Mangos in Miraflores  Lima https://t.co/aEQkTqnXlo	Un Huevo™	2014-05-16	3
76	51	I'm at Parque Municipal de Barranco in Barranco  Lima https://t.co/kwsWZnN0iK	Naysha Price Ballón	2014-11-15	8
77	872	I'm at Larcomar in Miraflores  Lima w/ @polyfaceticox https://t.co/V16pR04MHr	Mary Fer	2014-01-01	12
78	560	I'm at La Estación de Barranco in Barranco  Lima https://t.co/VRPNOaip4L	Cristhian Loayza	2014-03-31	11
79	889	I'm at Estación Matellini - @MetropolitanoPt in Chorrillos  Lima https://t.co/bu2VTykasI	Aarón Diaz	2014-03-09	4
80	277	Bocatto di cardinale 😋🍤🍲🍽 @ Hilton Lima Miraflores https://t.co/KmGfkFHfIw	Lilian R⭐️⭐️⭐️⭐️⭐️	2014-11-27	9
81	811	Quiero PIZZAAA (@ Home sweet home (: in Chorrillos  Lima  Lima Region) https://t.co/fQLAWtWTjL	Gianmarco	2014-06-25	5
82	45	Hasta ahora mi lugar favorito en Lima (@ Mangos in Miraflores  Lima w/ @leswc712) https://t.co/cpItfUu3Wc https://t.co/dAcviNHQkL	PolyfaceTico❌	2014-11-22	14
83	192	Raúl Fernández le dan la oportunidad de tapar y le regala un gol a vergüenza lima	Fernando Carrera	2014-06-19	17
84	812	I'm at @VeggiePizzaPe in Barranco  Lima https://t.co/3Mz6EwJy6m	Miau	2014-03-08	18
85	658	🍻 (@ Mangos in Miraflores  Lima w/ @polyfaceticox) https://t.co/Eq48KTnLFd	Mary Fer	2014-10-10	7
86	72	Un dia; con el amor de tu vida!!! @ Plaza Lima Sur-Metro https://t.co/Bk2flLjYWq	angel herrera	2014-04-12	16
87	412	I'm at Ache in Miraflores  Lima https://t.co/StW8WDUenL	jz	2014-04-29	20
88	541	I'm at La Feria de Barranco in Barranco  Lima https://t.co/KNrTEC2Poj	rasecdos	2014-01-28	10
89	751	@tromepe GOLLL DE ALIANZAAAA LIMA	manuel josue	2014-03-28	13
90	591	I'm at Chifa Chung Yion in Barranco  Lima https://t.co/n0qw8TN4E1	rasecdos	2014-12-03	10
91	85	I'm at KFC in Lima https://t.co/rpdZBdTdbR	Marita Gastañaduy	2014-11-06	8
92	346	Arriba alianza lima carajo Butron o buffon es lo mismo 😎😎	christian  chavarri	2014-06-14	6
93	358	Alianza lima #contratodos	los de svr...co	2014-08-09	17
94	851	@Leaobutron gracias capitán. Gracias equipo. El único grande del país ALIANZA LIMA 💙	Eduardo Sosa	2014-08-01	13
95	14	I'm at Casa De Carla in Departamento de Lima https://t.co/kAagtxxchP	Tutto	2014-09-10	16
96	505	I'm at Wagner's house in Lima  Peru https://t.co/gmx83xPe4x	Wagner Ayambo Ortega	2014-05-30	13
97	135	La Banda De Eddie. Alianza Lima y nada más. @ El Tizón https://t.co/SMXbaVJz1B	Mud Thoreau	2014-09-28	13
98	973	Aspec: ‘Gloria y Nestlé no deben vender en Perú sus productos como leche evaporada’ https://t.co/k9Mzy5ZRyH vía @elcomercio_peru	ASPEC OFICIAL	2014-05-28	2
99	356	A punto de empezar. #LaCena #Microteatro @ Microteatro Lima https://t.co/fuErOYcuS3	sergio paris	2014-03-05	20
100	966	Debut x @roblacktam 👏🏻 (@ MicroTeatro Lima in Lima) https://t.co/8FiyY9Fko7	Cinthya Fung	2014-05-25	1
101	654	(: (@ El Tizón - @eltizonbar in Barranco  Lima) https://t.co/8DLAqviL2Y	Carolina Salazar E.	2014-01-22	3
102	717	BARRANCO!!!!! Best bar ever!!!!! @ Barranco  Lima  Peru https://t.co/VfMlDvjkku	Carlo Fernando	2014-01-23	17
103	563	Despidiéndonos de Lima con los mejores! #atahualparestobar @… https://t.co/u9MJ3ovqia	Tania Madrid	2014-02-07	12
104	963	Ya tocaba (@ El Tizón - @eltizonbar in Barranco  Lima w/ @pachecovic) https://t.co/foNkIRuhaG	Renzo Silva Guevara	2014-06-26	10
105	121	#Bulbo (@ Base Aérea Las Palmas in Santiago de Surco  Lima) https://t.co/KpawdJKAOy	Yedida Angeles	2014-06-11	12
106	226	Si buenas? (@ El Tizón - @eltizonbar in Barranco  Lima w/ @xavierlagos) https://t.co/kioPLq3u4n	Coral Pérez O.	2014-08-01	7
107	945	Veneno  a la vena nomas!!😎 (@ El Tizón - @eltizonbar in Barranco  Lima) https://t.co/Hfpdi9cu85	Celia Zenaida	2014-05-19	12
108	493	I'm at El Tizón - @eltizonbar in Barranco  Lima w/ @aerebo https://t.co/DFV58cmLQp	Rafael Castañeda	2014-09-24	12
109	432	I'm at El Tizón - @eltizonbar in Barranco  Lima w/ @aerebo https://t.co/G95NtzqzDG	Rafael Castañeda	2014-11-16	4
110	254	I'm at Sargento Pimienta - @sargentpimienta in Barranco  Lima https://t.co/SsOALEcey0	Carlos San Martin	2014-12-21	3
111	498	Feliz cumple Mechebritany!! 😂 (@ Sargento Pimienta - @sargentpimienta in Barranco  Lima) https://t.co/VFiLbqR7vI	Gonzalo Hurtado Ruiz	2014-09-13	2
112	295	I'm at Peña del Carajo in Barranco  Lima https://t.co/EQK4u1fQEC	Clau	2014-06-04	8
113	279	Feliz cumple a mi!🎉🎉🎉 (@ Sargento Pimienta - @sargentpimienta in Barranco  Lima w/ @gabriel_floyd @sonic_shit) https://t.co/qpe9euyfyu	Mechita	2014-04-18	4
114	244	Segunda parada (@ Sargento Pimienta - @sargentpimienta in Barranco  Lima) https://t.co/PZqJLrl55K	Renzo Silva Guevara	2014-06-24	14
115	634	I'm at Toro Retro Bar in Barranco  Lima https://t.co/Qj0xb3Bg75	Carlos San Martin	2014-02-10	3
116	472	Esta es la discoteca más importante de Lima Sur Somos Kajuna Disco Club duela a quien le duela… https://t.co/fgC5xTmwZm	Willydlcperu	2014-12-16	15
117	580	@Lima_ECpe @MidasJack	Enrique Fernando	2014-09-18	12
118	581	Imparables!!. ✌️😊 (@ Dali Disco in Lima  Peru) https://t.co/8JQ2Kitzcf	Mily MH	2014-09-16	9
119	303	I'm at El Tizón - @eltizonbar in Barranco  Lima w/ @aerebo https://t.co/MslsYm4TRT	unloveable ☔	2014-07-21	6
120	396	Just posted a photo @ Barranco  Lima  Peru https://t.co/cU2izWMybk	Solange	2014-05-05	9
121	988	Ground #72: Estadio Monumental (de La U)  Lima. Universitario 1-2 Alianza Lima  the clásico… https://t.co/m5xtBWvAOM	Christopher Hylland	2014-04-07	10
122	790	A lot of empty seats despite it being a derby #lima #peru🇵🇪 @ Estadio Monumental De La  U  https://t.co/9yI1BRVn1S	Christopher Hylland	2014-04-08	15
123	959	Seguimos la juerga (@ Bar De Nico in Barranco  Lima w/ @sonic_shit) https://t.co/HITy4tPAmG	Mechita	2014-12-26	20
124	816	Toto torito!!! (@ Toro Retro Bar in Barranco  Lima) https://t.co/PVjCr8wMaW https://t.co/93frX53P2r	Celia Zenaida	2014-11-28	14
125	782	Sin voz y afiebrado chamare. (@ Costa Verde in Lima) https://t.co/AxoPCWCxhV	Juan Armas	2014-04-29	20
126	747	I'm at La Casa del Chicharrón in Chorrillos  Lima https://t.co/qqPof1PQKl	Jair Escobedo	2014-08-04	2
127	6	Lima through the looking glass ❤️	Bilal Akhtar	2014-03-13	4
128	308	Paseando (@ Buon Di in Santiago de Surco  Lima w/ @eka81pe) https://t.co/q5u6PTHPll	Fausto	2014-08-11	19
129	531	Con la reina (@ Parque Andres Avelino Caceres in Surco  Lima w/ @eka81pe) https://t.co/DFq6d2RBgO	Fausto	2014-02-02	18
130	925	Desayuno ñam! (@ Chicharrones Del Inca in Santiago de Surco  Lima) https://t.co/bHTjLPEETa	Edu López 😻	2014-03-05	14
131	768	@jesussolis_ Lima limón	🌵	2014-01-03	7
132	672	Amigos @LosDisplicentes hoy día gana Boca..!!. Saludos desde Lima  Perú. https://t.co/14OjeLGxiv	ManuelBornasMaquilon	2014-09-15	11
133	409	Family & Friends #ma#👏🏻👏🏻😍 @ Punta Hermosa  Lima  Peru https://t.co/6aMHhYnX89	Diego Zúñiga	2014-07-09	2
134	201	Como todos los Domingos  aquí estamos mami 💜🙌 (@ Cementerio Santa Rosa in Chorrillos  Lima) https://t.co/3mkH1yG3Zr https://t.co/4aAM5jHVlR	Hijadesumadre	2014-04-29	16
135	89	Nuevamente por acá (@ Clínica Veterinaria Pet Center in Chorrillos  Lima) https://t.co/Nb8S9X5nPi https://t.co/Xg9EIjr9fX	Victor	2014-10-15	10
136	343	I'm at Pachacamac in Lima https://t.co/Qdg38YWtkk	Fernando Velazco	2014-05-29	17
137	441	Just posted a photo @ Punta Negra  Lima  Peru https://t.co/BtSpVCv835	Yurpha GR	2014-08-15	18
138	699	Solsitoooo 🙌 (@ Costa Verde in Lima) https://t.co/ehcOzXrUZw	Hijadesumadre	2014-03-17	2
139	951	Regalo para Vale (@ Mall del Sur in San Juan De Miraflores  Lima) https://t.co/h0BXK7Pcoc	He left with my 💙	2014-09-11	14
140	411	@enrinando @Lima_ECpe Jaaaaaa!!! Pero que bien se le vería de presidente de la republica al sujeto de naranja. @enrinando	JoseAdolfo Hernández	2014-07-06	16
141	837	Vamo' a tragar 🍴 @neranerita00 (@ Canta Rana in Barranco  Lima) https://t.co/rbcCPGCCLA	Rocío Rincón	2014-10-02	14
142	366	I'm at Mis Costillitas in Santiago de Surco  Lima https://t.co/Sk2uc1QHzQ	Lilly	2014-05-29	5
143	416	Hambre (@ Lo De Juan Chicken & Grill in Lima) https://t.co/ZUDXKASSKh	Olber Correa	2014-04-09	5
144	111	Almuercito dominguero ❤ (@ Pez U' Mare in Surco  Lima w/ @conathin) https://t.co/Xwfkx7lSYY	Patty	2014-11-21	16
145	224	Papá @ Barranco  Lima  Peru https://t.co/S7C9TcrQMo	Daniela	2014-11-21	8
146	86	I'm at Papacho's in Miraflores  Lima https://t.co/n9cyGbWb7N	Beno	2014-12-15	3
147	122	#SaintSeiya 😻😻😻 (@ Lurin in Lima) https://t.co/g2mDv7MLnu https://t.co/OUIxR9CoZs	イサイアス  カルデナス	2014-02-05	4
148	194	Gud taims (@ Wallqa Restaurante in Miraflores  Lima) https://t.co/yZVBd3lqA6	Pequeño Pony	2014-01-26	11
149	756	I'm at El Hornero in Chorrillos  Lima https://t.co/gUNAdOg4UH	josue	2014-09-14	5
150	565	I'm at Chifa Hermano in Miraflores  Lima https://t.co/2YXPSGXAwH	Pixel⚡️Rider	2014-07-26	3
151	881	Esta vista aaaaa #lima 😍😍 @ JW Marriott Hotel Lima Peru https://t.co/XaE3x0yYaN	⛄ ❄ TheArgie ❄ 🌬	2014-03-31	19
152	838	Just posted a photo @ Vista Alegre  Lima  Peru https://t.co/h4ev9wC9Sg	Javier Morales A	2014-01-16	7
153	90	Hambreeeeee!!! (@ El Maretazo in surco  lima) https://t.co/1HRPNSIx3V	Raysa	2014-08-14	15
154	59	De pabellón y chicha de arroz ❤ (@ Arepa Café - @arepacafelima in Lima) https://t.co/fUvqAZJFw2	Manbo	2014-01-26	13
155	850	Caballos de paso (@ Fundo Mamacona in Lima) https://t.co/S70REcZPti	Ronald Quintanilla.	2014-04-05	10
156	349	A R T E. @ Barranco  Lima  Peru https://t.co/Ko2dJvsEQB	Ahmed	2014-10-18	2
157	23	#chocolate #mousse awyiss terminando de comer antes de pasear por Lima 😬👌 @ LARCOMAR https://t.co/So8gd0Dd53	⛄ ❄ TheArgie ❄ 🌬	2014-10-06	18
158	900	I'm at @WongPeru in Santiago de Surco  Lima https://t.co/Pb4sqfC54W	David R. Cuadros	2014-08-17	4
159	524	🌊😍 (@ Playa Waikiki in lima) https://t.co/DeAjKjDERu	Valita	2014-10-20	16
160	306	I'm at Parque de la Amistad in Santiago de Surco  Lima https://t.co/pNe9fpmPRy	Fernando Velazco	2014-10-17	8
161	614	Entre barrotes. Fotografía: Movil Iso 200 #Lima #fotografiamovil #fotografo #fotografoperuano… https://t.co/wedU3Rtf7c	Jesus Gonzales P.	2014-04-19	4
162	810	I'm at El Rocoto in Santiago de Surco  Lima https://t.co/uQq15VdaoS	MFox✈	2014-09-03	1
163	765	Costillas #domingo #costillas #ribs #lima @ La Popular - Larcomar https://t.co/nbRXCiu01x	Patrick R.	2014-12-02	7
164	896	I'm at Crepes & Waffles in Miraflores  Lima https://t.co/fLYSYXLjsG	f de foca	2014-01-30	7
165	788	Upgrade @manurago @luciaperez31 (at @WongPeru in Miraflores  Lima) https://t.co/wFBebTlmn1	Mr.Jotade	2014-09-05	2
166	754	I'm at Mall del Sur in San Juan De Miraflores  Lima https://t.co/FnlAgkdqXK	Kharla	2014-10-20	16
167	831	A ver que pasa (@ Comixs in Miraflores  Lima) https://t.co/mDRVVWyaQ1	Aaron  Falcon	2014-02-01	4
168	544	Promocionando las billeteras de la novia 💜 (@ La Feria de Barranco in Barranco  Lima) https://t.co/4zDUEzfcgG https://t.co/P9u2UyD08J	Hibeth	2014-11-18	10
169	54	El paraíso existe y está a 30 minutos de Lima. https://t.co/mfttyve5ug	pachacamac.pe	2014-05-24	4
170	88	¡ CONTRA TODO Y CONTRA TODOS ! ⚽️ (@ Deporcentro Casuarinas in Lima) https://t.co/sGSrkm1P4X	patrizzio✝	2014-07-06	14
171	666	Alguna escuela de #KunFu en lima? Que sea norteño.	Raúl	2014-03-01	18
172	457	#MAC @ Barranco  Lima  Peru https://t.co/EHBvLelLq9	Fiorella QFiascunari	2014-01-07	1
173	371	Playa santa María #HUASCAMINAS @ Playa De Santa María  Lima  Peru https://t.co/Ms8x3oRPpy	javier gonzales l.	2014-03-24	6
174	734	🔮 #back #ninety @ Barranco  Lima  Peru https://t.co/xBlBHGeZJM	Mario Benites Val	2014-12-20	16
175	764	#clientes #donangelo #puntahermosa #lima #peru #cumpleaños #familia https://t.co/onxDiY3pP6	Trattoria Don Angelo	2014-03-24	7
176	65	I'm at Puente Benavides in Santiago de Surco  Lima https://t.co/RbvwB4XhqT	Miguel Urbano	2014-11-30	16
177	999	I'm at Chifa Choy Tac in Santiago de Surco  Lima https://t.co/IcBUhlB5zT	GianfogifogiCervera	2014-10-12	11
178	520	😍💙🤙🏼🤸🏽‍♂️ @_AlonsoCN #kickflip #skateboard #sk8 @ Barranco  Lima  Peru https://t.co/dTD4YIxEVj	Grazzia Bracamonte	2014-06-27	5
179	328	Amor en Lima 💜 #love #couple #girlwithglasses #pink #Venezuelans #venezolanosenperu #Perú #Lima… https://t.co/w0BvEoRbGV	Amelia Rose	2014-02-09	12
180	660	I'm at Hotel León de Oro - @leon_de_oro in Miraflores  Lima https://t.co/1bstAJFqli	Un Huevo™	2014-07-25	20
181	532	I'm at Hotel León de Oro - @leon_de_oro in Miraflores  Lima w/ @leswc712 https://t.co/PLeQDEXNxb	PolyfaceTico❌	2014-04-08	5
182	535	Pump it (@ Grifo PetroPeru in Lima  Chorrillos) https://t.co/sTEgfn1KhU https://t.co/Rf0tO8FdaH	Pudiente frustrado🦃	2014-06-18	17
183	607	Aburrida total @ Villa María Del Trunfo  Lima  Peru https://t.co/ATgNYe7PoE	Martell  ASTRID.🐯	2014-04-22	11
184	258	Coldplay en Lima  con la (U) a todos lados https://t.co/LPch6DkcA1	Abel1924	2014-05-04	20
185	849	Ya despierto 😞 (@ Parque de la Amistad in Santiago de Surco  Lima) https://t.co/fDL3REnpuW	El Francesc 🔪	2014-09-19	14
186	126	I'm at Gold's Gym in Santiago de Surco  Lima https://t.co/IcPDjmzr8S	Giza	2014-05-24	17
187	321	on time baby (@ Universidad Ricardo Palma - @urpalma in Santiago de Surco  Lima) https://t.co/uHpHLbnquz	Diego Purizaca	2014-04-18	20
188	202	SOS (@ Universidad Ricardo Palma - @urpalma in Santiago de Surco  Lima) https://t.co/xk9clqNzQz	torta helada 🍰	2014-05-05	19
189	590	I'm at Panadería Carmelitas in Miraflores  Lima https://t.co/gwRgP8bvoQ	Pixel⚡️Rider	2014-10-01	19
190	895	I'm at CRP Medios y Entretenimiento - Local 3 in Lima https://t.co/r2ObEiPuBS	Pedro Rivas Ugaz	2014-07-12	11
191	180	I'm at Malecón Armendáriz in Miraflores  Lima https://t.co/DH8JKD8pX5	Israel Gonzales	2014-01-14	19
192	266	Ya basta (@ Facultad De Humanidades y Lenguas Modernas - Universidad Ricardo Palma - @urpalma in Lima) https://t.co/CmzWWZfAcg	carla ✰	2014-10-11	2
193	208	I'm at Instituto de Gobierno USMP - @iggp_usmp in Lima https://t.co/hCneImiXIi	elsacasas	2014-01-21	11
194	481	Desayuno ☕🍪 (at @Deli_Bakery in Chorrillos  Lima) https://t.co/uMfpJVODIz	Gatonator	2014-02-15	5
195	702	Antioquía  Huarochiri (Lima-Perú). ☁ Ph: me. 📷 #travelgram #traveler #igersperu #travel #sierra… https://t.co/v2YzaNYOBp	Andrea ZZevallos	2014-12-20	1
196	83	I'm at Shaly house in Barranco  Lima https://t.co/o6qcqpSJzW	Gonzalo Barrios	2014-04-29	7
197	807	Ya es invierno con Lima gris y sigues usando lentes Cholo.	Gean Carlos	2014-03-30	16
198	817	Estofado y caldo de mote en el restaurante #Parco de Antioquía  Huarochiri (Lima-Perú). 🍜🍛🍲🍽🍴📷… https://t.co/aFGKETyUzs	Andrea ZZevallos	2014-02-04	5
